lr,batch_size,optimizer,dropout,architecture,fold,epoch,train_loss,val_acc,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,11,0.0334,0.9784,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,12,0.0322,0.9784,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,13,0.0289,0.9767,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,14,0.0284,0.9762,,
0.001,64,Adam,0.2,"[512, 256, 128]",1,15,0.0246,0.9803,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,1,0.3624,0.9509,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,2,0.144,0.9675,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,3,0.1036,0.9627,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,4,0.0848,0.9729,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,5,0.0665,0.9731,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,6,0.0566,0.9725,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,7,0.0498,0.9752,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,8,0.0449,0.9759,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,9,0.0398,0.9759,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,10,0.039,0.9769,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,11,0.0322,0.9776,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,12,0.0323,0.9757,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,13,0.0296,0.9795,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,14,0.0257,0.9783,,
0.001,64,Adam,0.2,"[512, 256, 128]",2,15,0.0285,0.9787,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,1,0.3646,0.9444,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,2,0.1456,0.9679,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,3,0.1046,0.9718,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,4,0.0832,0.9744,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,5,0.0687,0.9774,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,6,0.0599,0.9729,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,7,0.052,0.9741,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,8,0.0463,0.9749,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,9,0.0435,0.9783,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,10,0.0387,0.9768,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,11,0.0351,0.9785,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,12,0.0333,0.9749,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,13,0.032,0.9797,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,14,0.0268,0.9782,,
0.001,64,Adam,0.2,"[512, 256, 128]",3,15,0.0277,0.9785,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,1,0.6086,0.9415,,
