rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,win_pct,snapshot,champ_prob
59,B10,31.0,112.1,98.2,0.8201,51.5,50.9,16.2,17.6,26.8,28.8,36.0,27.0,53.3,50.6,32.5,34.1,38.5,46.2,68.3,-0.9,Nebraska,,,2025,,pre,0.0
60,Amer,34.0,112.4,98.7,0.8166,53.6,48.5,19.2,19.1,35.1,32.3,39.4,33.6,52.0,48.6,38.0,32.2,33.1,40.7,71.4,5.0,Memphis,5.0,R64,2025,,pre,0.0
61,B10,31.0,114.2,100.6,0.812,54.1,51.9,17.4,19.8,28.6,29.1,37.9,29.4,55.6,51.3,34.3,35.3,36.2,38.3,70.9,-3.2,Penn St.,,,2025,,pre,0.0
62,Slnd,31.0,113.5,99.9,0.8118,53.3,47.5,16.2,21.6,34.7,31.3,35.7,31.4,53.2,46.9,35.6,32.2,36.7,46.6,66.0,-0.6,McNeese St.,12.0,R32,2025,,pre,0.0
63,B12,33.0,109.9,97.1,0.8046,50.6,49.0,17.7,18.1,29.4,31.7,27.6,28.6,51.8,49.9,32.5,31.5,40.2,35.7,67.7,-2.5,Kansas St.,,,2025,,pre,0.0
64,WCC,32.0,111.0,98.2,0.8041,53.0,48.7,17.0,18.2,29.0,28.1,35.0,35.9,54.7,52.1,34.0,28.3,43.6,35.1,68.5,0.11,San Francisco,,,2025,,pre,0.0
65,B10,33.0,119.7,105.9,0.8039,56.8,54.4,13.7,17.9,25.1,32.2,26.0,28.3,56.6,56.2,38.0,34.4,41.0,38.8,70.5,-1.9,Iowa,,,2025,,pre,0.0
66,B12,32.0,112.5,100.0,0.7946,51.4,50.5,17.5,16.0,25.2,30.4,35.9,31.2,49.8,51.4,35.8,32.9,42.8,40.3,69.1,-3.1,Arizona St.,,,2025,,pre,0.0
67,ACC,32.0,114.7,102.3,0.7887,52.2,51.1,14.8,18.3,29.0,29.9,34.2,32.8,52.4,50.4,34.6,34.7,41.4,41.3,67.2,-3.9,Pittsburgh,,,2025,,pre,0.0
68,B12,32.0,112.1,100.2,0.7828,51.7,48.7,18.1,15.7,34.9,28.4,37.0,33.4,53.9,47.4,32.6,33.8,43.8,40.0,69.5,-2.9,Utah,,,2025,,pre,0.0
