rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
87,A10,5,3–2 0–0,102.6 143,94.9 75,.7086 87,47.0 202,48.8 92,18.3 108,15.9 280,25.6 212,25.4 64,24.5 254,33.9 222,46.0 227,46.3 47,32.6 163,34.4 181,33.7 267,46.8 339,67.6 233,+0.6 33,St. Bonaventure,,,2022,N,A-N
88,P12,4,2–2 0–0,107.5 65,99.5 151,.7081 88,47.4 189,46.7 48,15.2 21,12.6 352,24.6 238,28.1 132,30.9 117,26.9 82,49.3 140,48.3 79,29.5 258,28.4 41,38.3 172,27.3 9,68.9 173,-0.7 100,Utah,,,2022,N,A-N
89,B12,5,4–1 0–0,105.6 94,97.9 127,.7061 89,48.5 154,51.2 169,17.3 67,19.1 131,34.9 29,24.2 42,29.2 142,29.5 136,49.8 127,49.5 109,30.5 239,36.4 257,30.8 308,35.2 107,67.6 233,+0.5 36,TCU,9,R32,2022,N,A-N
90,P12,3,2–1 0–0,107.5 67,99.6 153,.7058 90,55.3 21,50.9 160,19.0 144,21.3 55,23.5 270,37.1 335,32.7 92,44.7 331,54.8 26,50.0 121,37.3 41,34.8 195,39.2 154,38.8 200,70.7 92,-0.11 71,Washington,,,2022,N,A-N
91,SEC,5,2–3 0–0,104.3 112,96.7 106,.7037 91,47.1 198,53.5 256,19.9 180,19.9 102,31.1 87,24.7 47,34.5 58,28.9 117,50.3 111,56.8 318,27.4 304,32.4 120,34.2 257,40.7 244,66.9 262,-0.9 113,Mississippi St.,,,2022,N,A-N
92,SC,7,3–4 0–0,111.2 39,103.5 227,.6958 92,55.3 21,52.6 222,18.9 135,14.9 318,24.8 233,27.8 124,20.0 326,27.9 102,51.6 62,52.8 217,39.5 18,34.9 199,48.7 23,33.6 77,66.2 292,-1.2 141,Furman,,,2022,N,A-N
93,ACC,6,4–2 0–0,107.3 69,100.0 164,.6941 93,47.7 183,56.6 325,15.1 20,19.8 108,18.8 348,25.3 63,33.8 73,24.7 51,50.2 114,56.0 305,28.0 288,38.2 303,30.8 308,47.3 345,69.3 157,+0.5 38,Miami FL,10,Elite Eight,2022,N,A-N
94,SC,6,3–3 0–0,108.4 56,101.0 183,.6933 94,50.0 111,54.8 284,18.5 112,23.7 16,28.0 151,28.5 145,36.2 43,34.3 228,52.1 54,54.9 277,31.9 185,36.4 257,50.5 9,36.3 128,66.6 275,-1.1 128,Wofford,,,2022,N,A-N
95,BE,5,3–2 0–0,104.2 114,97.1 114,.6919 95,51.0 89,50.5 145,17.9 91,15.1 309,20.2 333,23.1 28,25.6 225,25.8 60,50.3 111,52.2 200,34.5 95,31.4 94,50.5 9,33.9 88,72.5 37,+0.39 46,Marquette,9,R64,2022,N,A-N
96,MWC,6,2–4 0–0,105.8 90,98.8 137,.6872 96,50.8 95,56.1 316,19.5 169,17.3 228,22.0 304,26.1 75,29.2 142,27.1 85,49.5 131,57.1 320,35.1 84,36.6 264,41.1 120,45.6 332,73.3 20,-0.9 118,Nevada,,,2022,N,A-N
