rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,snapshot,champion,win_pct,champ_prob
231,CAA,32.0,101.3,106.5,0.3593,50.0,52.4,15.8,18.8,24.6,27.7,29.7,29.9,51.5,55.8,31.9,31.1,41.8,36.8,66.1,-12.6,Campbell,,,2025,post,0,,0.0
232,A10,32.0,103.5,108.9,0.3589,48.4,52.7,15.4,15.8,19.3,27.7,29.7,37.1,49.7,52.4,31.2,35.4,45.6,48.6,64.1,-15.1,Richmond,,,2025,post,0,,0.0
233,BSth,32.0,107.1,112.6,0.3586,52.0,53.4,14.8,18.0,29.7,34.1,34.4,40.1,52.4,53.8,34.2,35.2,35.0,38.9,68.1,-6.5,UNC Asheville,,,2025,post,0,,0.0
234,OVC,33.0,103.1,108.5,0.357,51.3,48.8,21.1,17.4,33.8,30.3,41.4,39.3,52.5,48.1,32.6,33.4,33.6,35.9,70.8,-12.9,Tennessee St.,,,2025,post,0,,0.0
235,CAA,33.0,106.5,112.1,0.3563,50.4,48.0,19.1,13.0,36.1,31.5,38.7,25.1,50.8,46.9,33.2,33.0,41.5,44.0,65.3,-10.9,Elon,,,2025,post,0,,0.0
236,AE,34.0,99.2,104.5,0.3541,51.6,50.4,15.5,21.9,21.8,32.3,28.2,29.0,50.6,50.7,35.7,33.3,33.0,36.2,66.2,-10.2,Maine,,,2025,post,0,,0.0
237,Sum,33.0,108.5,114.4,0.3523,50.1,54.8,12.6,17.3,30.0,35.7,45.4,35.2,51.7,55.4,31.6,35.9,37.5,38.9,74.8,-8.8,South Dakota,,,2025,post,0,,0.0
238,Ivy,27.0,102.2,107.9,0.3483,50.6,52.2,18.0,17.7,25.0,31.1,24.4,24.6,52.2,53.4,32.0,33.5,39.9,36.5,65.9,-10.8,Harvard,,,2025,post,0,,0.0
239,Horz,33.0,103.2,109.1,0.3456,49.8,52.5,17.3,19.9,31.0,32.5,31.3,29.3,50.0,50.6,33.0,37.0,40.0,40.1,66.2,-11.0,Northern Kentucky,,,2025,post,0,,0.0
240,Amer,33.0,102.1,108.1,0.3419,49.5,49.7,16.9,14.4,27.2,31.1,34.2,33.6,51.5,50.0,31.2,32.7,42.3,34.0,66.5,-14.4,Tulsa,,,2025,post,0,,0.0
241,MAAC,34.0,99.7,105.6,0.3406,47.5,51.7,20.9,22.8,39.1,30.9,27.9,35.6,47.5,53.9,31.8,32.6,34.7,44.5,68.5,-13.8,Iona,,,2025,post,0,,0.0
242,BW,31.0,102.0,108.0,0.3404,50.6,49.5,20.7,13.1,31.0,24.9,39.9,33.7,53.1,48.0,31.0,35.0,37.4,32.4,66.1,-11.1,Hawaii,,,2025,post,0,,0.0
243,WAC,31.0,106.5,112.8,0.339,51.7,50.4,19.2,16.4,32.8,32.5,37.0,34.3,50.6,48.5,35.4,36.0,42.2,34.9,67.8,-12.9,UT Arlington,,,2025,post,0,,0.0
244,SB,33.0,107.4,113.9,0.3377,50.4,51.0,16.9,12.9,32.4,31.9,33.8,26.2,49.8,51.8,34.4,33.2,33.3,41.5,69.4,-13.1,Georgia St.,,,2025,post,0,,0.0
245,MAAC,33.0,105.2,111.7,0.3346,51.0,51.8,17.7,17.6,31.4,29.9,26.3,27.6,50.3,50.8,34.5,35.4,44.6,43.1,70.6,-14.6,Sacred Heart,,,2025,post,0,,0.0
246,SB,33.0,103.2,109.6,0.3341,50.6,50.1,19.0,18.4,33.0,33.0,26.5,43.1,49.8,51.2,34.5,32.3,44.3,40.1,69.8,-11.2,Georgia Southern,,,2025,post,0,,0.0
247,Sum,33.0,107.8,114.5,0.3331,49.7,56.5,16.6,15.0,33.7,28.7,33.6,33.0,50.3,57.1,32.5,37.1,40.0,40.6,69.2,-15.1,North Dakota,,,2025,post,0,,0.0
248,WCC,32.0,106.5,113.6,0.3218,50.1,54.6,18.0,13.2,23.9,29.9,32.2,22.1,49.8,53.3,33.7,37.8,43.6,40.9,68.5,-12.6,Portland,,,2025,post,0,,0.0
249,Pat,35.0,101.7,108.7,0.3188,52.0,52.5,16.9,17.7,23.8,27.4,29.0,34.1,51.4,53.5,35.2,33.8,45.3,35.9,63.8,-8.2,American,16.0,R68,2025,post,0,,0.0
250,MAC,33.0,111.2,118.8,0.3181,50.5,56.4,13.7,15.5,29.8,30.9,35.5,26.5,50.6,55.9,33.6,38.2,28.6,37.5,68.6,-8.9,Toledo,,,2025,post,0,,0.0
