rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
150,MAAC,9,7–2 7–2,108.7 82,107.7 242,.5254 150,57.6 9,48.1 53,20.6 273,14.1 323,27.0 202,28.6 190,40.5 22,25.4 25,50.2 136,48.3 90,42.5 6,31.9 70,54.4 3,37.6 146,67.3 220,-0.7 102,Quinnipiac,,,2019,C,A-N
151,SB,9,2–7 2–7,111.4 50,110.6 287,.5206 151,52.6 76,54.5 275,17.6 114,15.7 281,30.2 98,24.9 75,35.3 76,32.5 148,54.3 38,52.1 219,33.7 195,38.5 289,46.8 24,42.0 258,65.8 295,-4.2 266,Louisiana Monroe,,,2019,C,A-N
152,P12,9,3–6 3–6,101.0 223,100.6 101,.5115 152,47.7 258,52.2 197,20.2 253,16.3 246,29.8 107,25.8 104,27.5 246,30.3 100,48.3 215,52.5 233,31.0 277,34.4 149,35.9 238,36.6 119,66.5 264,-2.1 161,Colorado,,,2019,C,A-N
153,A10,9,4–5 4–5,105.8 127,105.5 202,.5078 153,49.6 195,51.2 151,20.5 268,19.3 95,33.8 41,35.9 345,26.5 269,29.7 83,51.5 93,53.4 260,31.5 264,31.4 55,43.8 55,34.7 67,69.8 104,-1.9 152,Duquesne,,,2019,C,A-N
154,Sum,8,6–2 6–2,111.8 46,111.7 300,.5036 154,53.3 58,54.4 272,11.1 1,13.2 345,28.8 142,20.2 7,30.2 187,27.1 41,50.9 113,57.5 331,38.5 41,33.8 113,34.9 261,45.3 325,68.3 171,-0.40 80,Nebraska Omaha,,,2019,C,A-N
155,CAA,9,5–4 5–4,108.7 83,108.6 263,.5028 155,54.9 30,57.7 335,17.2 88,17.5 184,26.9 205,22.8 26,35.0 82,29.0 72,55.7 19,60.8 349,35.8 119,35.8 200,36.8 214,44.2 308,66.3 275,-2.1 162,Charleston,,,2019,C,A-N
156,MAC,9,2–7 2–7,100.9 225,100.8 105,.5015 156,47.9 253,51.3 155,17.5 110,17.7 168,24.7 262,31.4 284,27.1 260,33.8 168,47.0 250,49.0 109,33.0 217,37.0 239,35.1 257,35.6 92,69.6 112,-3.1 216,Ohio,,,2019,C,A-N
157,A10,9,3–6 3–6,95.6 297,95.6 43,.5000 157,45.2 320,49.0 79,21.9 313,18.8 116,26.0 233,24.6 65,24.9 296,42.5 303,43.2 337,50.2 140,31.8 257,31.1 51,43.7 58,33.7 43,70.0 92,-2.6 188,La Salle,,,2019,C,A-N
158,BSth,8,5–3 5–3,104.6 150,104.6 183,.4988 158,49.9 184,50.6 127,16.1 45,20.1 66,27.9 169,31.7 294,28.5 224,32.1 137,49.4 164,49.0 109,33.6 198,35.2 178,47.2 22,42.6 274,65.6 301,-1.4 127,Campbell,,,2019,C,A-N
159,CUSA,9,4–5 4–5,95.1 300,95.1 38,.4981 159,49.0 216,47.2 37,21.3 291,18.8 116,22.9 299,23.0 29,24.3 303,31.6 125,47.3 242,46.4 45,34.1 176,32.1 73,44.1 49,42.1 262,70.2 83,-2.6 193,Florida Atlantic,,,2019,C,A-N
160,A10,9,3–6 3–6,103.5 170,103.7 161,.4934 160,46.2 297,51.6 166,21.4 297,16.7 224,38.0 9,24.7 69,35.8 71,39.4 269,48.0 223,51.6 203,28.4 329,34.3 143,32.0 313,42.8 281,66.6 258,-2.7 201,Saint Louis,13,R64,2019,C,A-N
